Name,Lstar,Mstar,Radius,Width,sblow,smin,smin_ep,smin_em,q,q_ep,q_em,Md,Md_ep,Md_em
HD159492,10.589145931775128,1.9625349947389517,80.7,52.9,7.22946719240037,13.218539076461292,2.7406245132321736,7.393215153312096,4.8351525134048075,1.009720134636587,0.7661005549819366,0.00038132219629814556,8.489406553477451e-05,5.4751347066145915e-05
HD21997,10.849938665696747,1.976224898195498,94.0,52.0,7.459188768918319,10.51704017127959,5.300252729397027,3.803619868491613,3.3671073074827502,0.18724725787093632,0.21818712034305143,0.006456882430569173,0.0005069447291307727,0.0005327114387566421
HD20320,11.724637441420269,2.020491267207968,83.5,53.0,8.24108413353984,15.852987163204734,43.9612145746747,7.352653240442002,3.5,0.0,0.0,0.00020923801898291194,3.2801586460654236e-05,2.120968757884524e-05
HD142091,12.01377150536749,2.034603650305474,102.9,66.3,8.503292829046229,6.011140072496991,44.10433636024011,5.828916773158023,3.431487363311573,0.24661756983944416,1.3117154861218512,0.0005596059702480254,0.0005177408423507366,9.486711456268562e-05
HD131488,12.162265573770728,2.041757397809982,92.0,46.0,8.638663719504152,0.7727228729604235,17.098364947726672,0.659629047878405,2.830439944572439,0.4141226156608435,0.4931849878948089,0.018481510232425568,0.009536872637777714,0.007391592964747258
HD153053,12.332742332753135,2.0498936533481316,164.0,125.9,8.79465762159369,5.34123713542312,36.17617822336384,2.923629673096588,3.5,0.0,0.0,0.0007916626813948383,0.0003283723241354423,0.00020760673910591877
HD138965,13.520182503364047,2.1044464183043745,163.6,38.5,9.898021088285388,4.709012746260178,0.37320113469538274,0.23836353980973346,3.5,0.0,0.0,0.0052346158599039265,0.00017726479171640934,0.00025243684667777214
HD102647,13.694963830246639,2.112183680278796,31.7,23.6,10.062838912631857,5.844782083860993,6.3008883767567685,2.9257755978159676,3.9523424994774268,0.29821186914864706,0.9007388835781227,0.0003048491635470296,0.00011907596957483042,7.179951357493233e-05
HD121617,13.738207609136516,2.114087111667927,78.0,60.0,10.103710683390918,1.6798093311763989,0.338318644270871,0.32879371283551273,3.4527916081887797,0.08210740124277827,0.07311588134706248,0.05538401572080942,0.004842630728004713,0.004650597124472779
HD15257,14.455062589110607,2.145034487009372,270.0,220.0,10.786541125702538,4.992802833010401,13.05963945280401,2.9370999375296933,3.8202101769459587,0.21528775665623456,1.1796533009008154,0.0011761542171723493,0.0006834125781388998,0.00023966303590972874
HD183324,14.658906119822207,2.153633882781215,130.7,34.5,10.982504426052545,20.079388264596084,47.3387557444105,14.210800053632527,3.5,0.0,0.0,0.00011487700189684828,1.557253032260879e-05,1.3178651558439636e-05
HD70313,14.798554311091944,2.1594759354995023,115.3,42.0,11.117204835879793,5.349237375605293,38.70067371337297,1.701052785681041,3.5,0.0,0.0,0.0009502309556242721,0.00019372768976795714,0.00020767279849741652
HD110411,14.951447067277574,2.1658270789858767,94.2,56.2,11.265097505977918,2.891834267232065,0.49063732728893683,1.0036916120578379,3.449733027493634,0.17025061648724682,0.1534310445829732,0.0007168800832933252,5.8290056335453784e-05,4.114257357329756e-05
HD9672,15.019590285670109,2.1686427991994135,136.0,147.0,11.33115182281686,4.933065976098305,2.720900978690083,1.213189886353621,3.57528764872073,0.1271951970239682,0.15593522969664209,0.008802305105318825,0.0014618503909142357,0.0013981094747831544
HD12467,15.129684510424271,2.173172742485715,128.7,64.5,11.438052073203266,14.210909749041551,53.52930300070783,7.027750430923562,3.5,0.0,0.0,0.0012809854148807213,0.00011265016579840577,0.00010875081552671247
HD141378,15.374852784565954,2.183176497802093,126.3,60.3,11.67690539708585,4.011465319484652,0.46540352674149243,0.28069111319934814,3.5,0.0,0.0,0.0010995588555881579,5.582820464725808e-05,7.026295163943541e-05
HD31295,15.554834855078745,2.1904481261341986,105.8,64.5,11.852946536972125,35.86316847422199,24.655041190978984,27.189387429340677,3.866075624708702,0.6963437697604022,1.2143512485848298,0.0006995208525658285,7.549386701088978e-05,5.4706555298942856e-05
